排名,应用名称,描述,分类,GitHub Stars,开发语言,有Dockerfile,有Docker Compose,Compose复杂度,有官方镜像,移植难度,移植评分,GitHub链接,官网链接
19,Cal.com,Scheduling infrastructure for absolutely everyone,Calendar,37k,,✗,✗,0,✓,🟠 中等难度,6.17,https://github.com/calcom/cal.com?ref=selfh.st,https://cal.com/?ref=selfh.st
20,Novu,Open source notifications framework,Development,37k,,✗,✗,0,✓,🟠 中等难度,6.17,https://github.com/novuhq/novu?ref=selfh.st,https://novu.co/?ref=selfh.st
21,Payload,Headless CMS and application framework,Content Management,36k,,✗,✗,0,✓,🟠 中等难度,6.00,https://github.com/payloadcms/payload?ref=selfh.st,https://payloadcms.com/?ref=selfh.st
22,ToolJet,Low-code platform for building internal applications,No-Code / Low-Code,36k,,✗,✗,0,✓,🟠 中等难度,6.00,https://github.com/ToolJet/ToolJet?ref=selfh.st,https://tooljet.ai/?ref=selfh.st
23,SiYuan,"Privacy-first, self-hosted, fully open-source personal knowledge management software",Note-Taking,35k,,✗,✗,0,✓,🟠 中等难度,5.83,https://github.com/siyuan-note/siyuan?ref=selfh.st,https://b3log.org/siyuan?ref=selfh.st
24,Puter,Advanced open-source desktop environment in the browser,Web Desktop,34k,,✗,✗,0,✓,🟠 中等难度,5.67,https://github.com/HeyPuter/puter?ref=selfh.st,https://puter.com/?ref=selfh.st
25,LocalAI,Drop-in replacement REST API for OpenAI,Artificial Intelligence,33k,,✗,✗,0,✓,🟠 中等难度,5.50,https://github.com/mudler/LocalAI?ref=selfh.st,https://localai.io/?ref=selfh.st
26,Medusa,Commerce modules and tools for building rich and performant commerce applications,E-commerce,30k,,✗,✗,0,✓,🟠 中等难度,5.00,https://github.com/medusajs/medusa?ref=selfh.st,https://medusajs.com/?ref=selfh.st
27,restic,"Fast, secure, efficient backup program",Backups,29k,,✗,✗,0,✓,🟠 中等难度,4.83,https://github.com/restic/restic?ref=selfh.st,https://restic.net/?ref=selfh.st
28,Headscale,Open-source implementation of the Tailscale control server,Remote Access,29k,,✗,✗,0,✓,🟠 中等难度,4.83,https://github.com/juanfont/headscale?ref=selfh.st,https://github.com/juanfont/headscale?ref=selfh.st
29,PostHog,"Open-source product analytics, session recording, feature flagging, and A/B testing",Marketing,27k,,✗,✗,0,✓,🟠 中等难度,4.50,https://github.com/PostHog/posthog?ref=selfh.st,https://posthog.com/?ref=selfh.st
30,Sunshine,Game stream host for Moonlight,Gaming,27k,,✗,✗,0,✓,🟠 中等难度,4.50,https://github.com/LizardByte/Sunshine?ref=selfh.st,http://app.lizardbyte.dev/Sunshine/?ref=selfh.st
31,LibreChat,Sleek and customizable interface for AI conversations,Artificial Intelligence,27k,,✗,✗,0,✓,🟠 中等难度,4.50,https://github.com/danny-avila/LibreChat?ref=selfh.st,https://librechat.ai/?ref=selfh.st
32,Jitsi Meet,"Secure, simple, and scalable video conferences as a standalone or web application",Video Conferencing,26k,,✗,✗,0,✓,🟠 中等难度,4.33,https://github.com/jitsi/jitsi-meet?ref=selfh.st,https://jitsi.org/meet?ref=selfh.st
33,Loki,"Horizontally-scalable, highly-available, multi-tenant log aggregation system",Logs,26k,,✗,✗,0,✓,🟠 中等难度,4.33,https://github.com/grafana/loki?ref=selfh.st,https://grafana.com/loki?ref=selfh.st
34,Budibase,Low-code platform for building business apps and workflows in minutes,No-Code / Low-Code,25k,,✗,✗,0,✓,🟠 中等难度,4.17,https://github.com/Budibase/budibase?ref=selfh.st,https://budibase.com/?ref=selfh.st
35,ChangeDetection,Page change monitoring with alerts,Monitoring,25k,,✗,✗,0,✓,🟠 中等难度,4.17,https://github.com/dgtlmoon/changedetection.io?ref=selfh.st,https://changedetection.io/?ref=selfh.st
36,Authelia,Authentication and authorization server with 2FA and SSO via web portal,Authentication,24k,,✗,✗,0,✓,🟠 中等难度,4.00,https://github.com/authelia/authelia?ref=selfh.st,https://www.authelia.com/?ref=selfh.st
37,Chatwoot,"Live-chat, e-mail, and omni-channel customer support",Support / Ticketing,24k,,✗,✗,0,✓,🟠 中等难度,4.00,https://github.com/chatwoot/chatwoot?ref=selfh.st,https://www.chatwoot.com/help-center?ref=selfh.st
38,KeePassXC,Modern and secure password manager,Password Manager,23k,,✗,✗,0,✓,🟠 中等难度,3.83,https://github.com/keepassxreboot/keepassxc?ref=selfh.st,https://keepassxc.org/?ref=selfh.st
39,Plausible,"Simple, open-source, lightweight, and privacy-friendly web analytics",Web Analytics,23k,,✗,✗,0,✓,🟠 中等难度,3.83,https://github.com/plausible/analytics?ref=selfh.st,https://plausible.io/?ref=selfh.st
40,Watchtower,A process for automating Docker container base image updates,Docker,22k,,✗,✗,0,✓,🟠 中等难度,3.67,https://github.com/containrrr/watchtower?ref=selfh.st,https://containrrr.dev/watchtower/?ref=selfh.st
41,SigNoz,"Logs, metrics, and traces in a single pane",Monitoring,22k,,✗,✗,0,✓,🟠 中等难度,3.67,https://github.com/SigNoz/signoz?ref=selfh.st,https://signoz.io/?ref=selfh.st
42,Dub,Open-source link management infrastructure for modern marketing teams,URL Shortener,22k,,✗,✗,0,✓,🟠 中等难度,3.67,https://github.com/dubinc/dub?ref=selfh.st,https://dub.co/?ref=selfh.st
43,Postiz,Social media post scheduling and measurement,Scheduling,22k,,✗,✗,0,✓,🟠 中等难度,3.67,https://github.com/gitroomhq/postiz-app?ref=selfh.st,https://postiz.com/?ref=selfh.st
44,Eleventy,Simple static site generator that transforms a directory of templates into HTML,Blog,18k,,✗,✗,0,✓,🟠 中等难度,3.60,https://github.com/11ty/eleventy?ref=selfh.st,https://www.11ty.dev/?ref=selfh.st
45,Matomo,A powerful web analytics platform that gives you 100% data ownership,Web Analytics,21k,,✗,✗,0,✓,🟠 中等难度,3.50,https://github.com/matomo-org/matomo?ref=selfh.st,https://matomo.org/?ref=selfh.st
46,Dokploy,Application deployment and management platform,Deployment,21k,,✗,✗,0,✓,🟠 中等难度,3.50,https://github.com/Dokploy/dokploy?ref=selfh.st,https://dokploy.com/?ref=selfh.st
47,BookStack,Platform for organizing and storing information in a book-like structure,Wiki,17k,,✗,✗,0,✓,🟠 中等难度,3.40,https://github.com/BookStackApp/BookStack?ref=selfh.st,https://www.bookstackapp.com/?ref=selfh.st
48,wg-easy,The easiest way to run WireGuard VPN with a web-based admin UI,Remote Access,20k,,✗,✗,0,✓,🟠 中等难度,3.33,https://github.com/wg-easy/wg-easy?ref=selfh.st,https://wg-easy.github.io/wg-easy/latest/?ref=selfh.st
49,Ente Photos,"Fully open-source, end-to-end encrypted alternative to Google Photos and Apple Photos",Photos,20k,,✗,✗,0,✓,🟠 中等难度,3.33,https://github.com/ente-io/ente?ref=selfh.st,https://ente.io/?ref=selfh.st
50,Ente Auth,"Open-source, end-to-end encrypted 2FA platform",2FA,20k,,✗,✗,0,✓,🟠 中等难度,3.33,https://github.com/ente-io/ente?ref=selfh.st,https://ente.io/?ref=selfh.st
51,Teleport,"Provides connectivity, authentication, access controls, and audit for infrastructure",Authentication,19k,,✗,✗,0,✓,🟠 中等难度,3.17,https://github.com/gravitational/teleport?ref=selfh.st,https://goteleport.com/?ref=selfh.st
52,Infisical,Secrets management platform and interface,Password Manager,18k,,✗,✗,0,✓,🟠 中等难度,3.00,https://github.com/Infisical/infisical?ref=selfh.st,https://infisical.com/?ref=selfh.st
53,Dockge,Easy-to-use docker compose stack manager,Deployment,18k,,✗,✗,0,✓,🟠 中等难度,3.00,https://github.com/louislam/dockge?ref=selfh.st,https://dockge.kuma.pet/?ref=selfh.st
54,Zola,Fast static site generator in a single binary with everything built-in,Blog,15k,,✗,✗,0,✓,🟠 中等难度,3.00,https://github.com/getzola/zola?ref=selfh.st,https://www.getzola.org/?ref=selfh.st
55,Bitwarden,Password and credentials manager with encryption,2FA,17k,,✗,✗,0,✓,🟠 中等难度,2.83,https://github.com/bitwarden/server?ref=selfh.st,https://bitwarden.com/?ref=selfh.st
56,Invidious,Alternative front-end for YouTube,Front End,17k,,✗,✗,0,✓,🟠 中等难度,2.83,https://github.com/iv-org/invidious?ref=selfh.st,https://invidious.io/?ref=selfh.st
57,Authentik,Open-source identity provider with support for various protocols,Authentication,17k,,✗,✗,0,✓,🟠 中等难度,2.83,https://github.com/goauthentik/authentik?ref=selfh.st,https://goauthentik.io/?ref=selfh.st
58,SafeLine,Self-hosted web application firewall to protect from attacks and exploits,Firewall,17k,,✗,✗,0,✓,🟠 中等难度,2.83,https://github.com/chaitin/SafeLine?ref=selfh.st,https://ly.safepoint.cloud/fUxS0GW?ref=selfh.st
59,Valkey,High-performance data structure server for serving key/value workloads,Database,22k,,✗,✗,0,✓,🔴 较难移植,2.75,https://github.com/valkey-io/valkey?ref=selfh.st,https://valkey.io/?ref=selfh.st
60,Overleaf,Web-based collaborative LaTeX editor,LaTeX,16k,,✗,✗,0,✓,🟠 中等难度,2.67,https://github.com/overleaf/overleaf?ref=selfh.st,https://github.com/overleaf/overleaf?ref=selfh.st
61,Flarum,Simple forum software for building great communities,Forums,16k,,✗,✗,0,✓,🟠 中等难度,2.67,https://github.com/flarum/flarum?ref=selfh.st,https://flarum.org/?ref=selfh.st
62,Postal,A fully featured open source mail delivery platform for incoming and outgoing e-mail,Email,16k,,✗,✗,0,✓,🟠 中等难度,2.67,https://github.com/postalserver/postal?ref=selfh.st,https://postalserver.io/?ref=selfh.st
63,NocoBase,No-code platform for building business applications,No-Code / Low-Code,16k,,✗,✗,0,✓,🟠 中等难度,2.67,https://github.com/nocobase/nocobase?ref=selfh.st,https://www.nocobase.com/?ref=selfh.st
64,NetBird,Peer-to-peer private network and centralized access control system,Remote Access,16k,,✗,✗,0,✓,🟠 中等难度,2.67,https://github.com/netbirdio/netbird?ref=selfh.st,https://netbird.io/?ref=selfh.st
65,Fail2Ban,Daemon to ban hosts that cause multiple authentication errors,Networking,15k,,✗,✗,0,✓,🟠 中等难度,2.50,https://github.com/fail2ban/fail2ban?ref=selfh.st,http://www.fail2ban.org/?ref=selfh.st
66,NodeBB,Forum software built for the modern web,ActivityPub / Fediverse,15k,,✗,✗,0,✓,🟠 中等难度,2.50,https://github.com/NodeBB/NodeBB?ref=selfh.st,https://nodebb.org/?ref=selfh.st
67,Mail-in-a-Box,Mail-in-a-Box lets you become your own mail service provider in a few easy steps.,Email,15k,,✗,✗,0,✓,🟠 中等难度,2.50,https://github.com/mail-in-a-box/mailinabox?ref=selfh.st,https://mailinabox.email/?ref=selfh.st
68,Calibre-Web,"Web application for browsing, reading, and downloads book stored in a Calibre database",Books,15k,,✗,✗,0,✓,🟠 中等难度,2.50,https://github.com/janeczku/calibre-web?ref=selfh.st,https://github.com/janeczku/calibre-web?ref=selfh.st
69,Apache Answer,Q&A platform for teams and communities,Forums,15k,,✗,✗,0,✓,🟠 中等难度,2.50,https://github.com/apache/answer?ref=selfh.st,https://answer.apache.org/?ref=selfh.st
70,PeerTube,ActivityPub-federated video streaming platform,ActivityPub / Fediverse,14k,,✗,✗,0,✓,🟠 中等难度,2.33,https://github.com/Chocobozzz/PeerTube?ref=selfh.st,https://joinpeertube.org/?ref=selfh.st
71,CapRover,"App, database, and webserver deployment platform",Deployment,14k,,✗,✗,0,✓,🟠 中等难度,2.33,https://github.com/caprover/caprover?ref=selfh.st,https://caprover.com/?ref=selfh.st
72,Zigbee2MQTT,Zigbee to MQTT bridge for getting rid of proprietary Zigbee bridges,Internet of Things,14k,,✗,✗,0,✓,🟠 中等难度,2.33,https://github.com/Koenkk/zigbee2mqtt?ref=selfh.st,https://www.zigbee2mqtt.io/?ref=selfh.st
73,Lemmy,Link aggregator and forum for the Fediverse,ActivityPub / Fediverse,14k,,✗,✗,0,✓,🟠 中等难度,2.33,https://github.com/LemmyNet/lemmy?ref=selfh.st,https://join-lemmy.org/?ref=selfh.st
74,Windmill,Developer infrastructure for internal tools,Development Infrastructure,14k,,✗,✗,0,✓,🟠 中等难度,2.33,https://github.com/windmill-labs/windmill?ref=selfh.st,https://windmill.dev/?ref=selfh.st
75,PostgreSQL,Object-relational database management system that supports an extended subset of the SQL standard,Database,18k,,✗,✗,0,✓,🔴 较难移植,2.25,https://github.com/postgres/postgres?ref=selfh.st,https://www.postgresql.org/?ref=selfh.st
76,Seafile,High performance file syncing and sharing,Cloud Storage,13k,,✗,✗,0,✓,🟠 中等难度,2.17,https://github.com/haiwen/seafile?ref=selfh.st,http://seafile.com/?ref=selfh.st
77,Habitica,Role-playing gamified habit tracker,Habit Tracking,13k,,✗,✗,0,✓,🟠 中等难度,2.17,https://github.com/HabitRPG/habitica?ref=selfh.st,https://habitica.com/?ref=selfh.st
78,Maxun,No-code web data extraction platform,No-Code / Low-Code,13k,,✗,✗,0,✓,🟠 中等难度,2.17,https://github.com/getmaxun/maxun?ref=selfh.st,https://www.maxun.dev/?ref=selfh.st
79,Snipe-IT,Asset management for IT operations,,12k,,✗,✗,0,✓,🟠 中等难度,2.00,https://github.com/grokability/snipe-it?ref=selfh.st,https://snipeitapp.com/?ref=selfh.st
80,Semaphore UI,"Modern UI and API for Ansible, Terraform, and other DevOps tools",Automation,12k,,✗,✗,0,✓,🟠 中等难度,2.00,https://github.com/semaphoreui/semaphore?ref=selfh.st,https://semaphoreui.com/?ref=selfh.st
81,Borg,Deduplicating archiver with compression and encryption,Backups,12k,,✗,✗,0,✓,🟠 中等难度,2.00,https://github.com/borgbackup/borg?ref=selfh.st,https://www.borgbackup.org/?ref=selfh.st
82,LibreTranslate,Open-source machine translation API,Language,12k,,✗,✗,0,✓,🟠 中等难度,2.00,https://github.com/LibreTranslate/LibreTranslate?ref=selfh.st,https://libretranslate.com/?ref=selfh.st
83,Automatisch,Automation tool for business processes and workflows,Workflow Automation,12k,,✗,✗,0,✓,🟠 中等难度,2.00,https://github.com/automatisch/automatisch?ref=selfh.st,https://automatisch.io/?ref=selfh.st
84,YOURLS,Your Own URL Shortener,URL Shortener,11k,,✗,✗,0,✓,🟠 中等难度,1.83,https://github.com/YOURLS/YOURLS?ref=selfh.st,https://yourls.org/?ref=selfh.st
85,OpenProject,Web-based project management software,Kanban,11k,,✗,✗,0,✓,🟠 中等难度,1.83,https://github.com/opf/openproject?ref=selfh.st,https://www.openproject.org/?ref=selfh.st
86,Webhook,Lightweight webhook server for running shell commands,Webhooks,11k,,✗,✗,0,✓,🟠 中等难度,1.83,https://github.com/adnanh/webhook?ref=selfh.st,https://github.com/adnanh/webhook?ref=selfh.st
87,Misskey,"Misskey is an open-source, federated social media platform that's free forever",ActivityPub / Fediverse,11k,,✗,✗,0,✓,🟠 中等难度,1.83,https://github.com/misskey-dev/misskey?ref=selfh.st,https://misskey-hub.net/?ref=selfh.st
88,Mailcow,The mailserver suite with the 'moo',Email,11k,,✗,✗,0,✓,🟠 中等难度,1.83,https://github.com/mailcow/mailcow-dockerized?ref=selfh.st,https://mailcow.email/?ref=selfh.st
89,Whoogle,"Self-hosted, ad-free, privacy-respecting metasearch engine",Search Engines,11k,,✗,✗,0,✓,🟠 中等难度,1.83,https://github.com/benbusby/whoogle-search?ref=selfh.st,https://pypi.org/project/whoogle-search/?ref=selfh.st
90,Neko,Self-hosted virtual browser,Media Streaming,11k,,✗,✗,0,✓,🟠 中等难度,1.83,https://github.com/m1k1o/neko?ref=selfh.st,https://neko.m1k1o.net/?ref=selfh.st
91,CrowdSec,Participative security solution offering crowd-sourced protection against malicious IPs,Networking,11k,,✗,✗,0,✓,🟠 中等难度,1.83,https://github.com/crowdsecurity/crowdsec?ref=selfh.st,https://crowdsec.net/?ref=selfh.st
92,Formbricks,Privacy-first survey and feedback platform,Surveys and Forms,11k,,✗,✗,0,✓,🟠 中等难度,1.83,https://github.com/formbricks/formbricks?ref=selfh.st,https://formbricks.com/?ref=selfh.st
93,XPipe,"Manage all your servers, containers, and virtual machines from your local desktop",Server Management,11k,,✗,✗,0,✓,🟠 中等难度,1.83,https://github.com/xpipe-io/xpipe?ref=selfh.st,https://xpipe.io/?ref=selfh.st
94,Documenso,Open-source document signing,Document Signing,11k,,✗,✗,0,✓,🟠 中等难度,1.83,https://github.com/documenso/documenso?ref=selfh.st,https://documenso.com/?ref=selfh.st
95,VictoriaMetrics,"Fast, cost-effective monitoring solution and time series database",Database,14k,,✗,✗,0,✓,🔴 较难移植,1.75,https://github.com/VictoriaMetrics/VictoriaMetrics?ref=selfh.st,https://victoriametrics.com/?ref=selfh.st
96,SonarQube,Code quality and security solution with deep integration for enterprise environments,Development,10k,,✗,✗,0,✓,🟠 中等难度,1.67,https://github.com/SonarSource/sonarqube?ref=selfh.st,http://www.sonarqube.org/?ref=selfh.st
97,WooCommerce,"Customizable, open-source ecommerce platform built on WordPress",E-commerce,10k,,✗,✗,0,✓,🟠 中等难度,1.67,https://github.com/woocommerce/woocommerce?ref=selfh.st,https://woocommerce.com/?ref=selfh.st
98,Mosquitto,Open-source implementation of the MQTT protocol,Internet of Things,10k,,✗,✗,0,✓,🟠 中等难度,1.67,https://github.com/eclipse-mosquitto/mosquitto?ref=selfh.st,https://mosquitto.org/?ref=selfh.st
99,FlareSolverr,Proxy server to bypass Cloudflare protection,*arr,10k,,✗,✗,0,✓,🟠 中等难度,1.67,https://github.com/FlareSolverr/FlareSolverr?ref=selfh.st,https://github.com/FlareSolverr/FlareSolverr?ref=selfh.st
100,MySQL,The world's most popular open-source database,Database,11k,,✗,✗,0,✓,🔴 较难移植,1.38,https://github.com/mysql/mysql-server?ref=selfh.st,http://www.mysql.com/?ref=selfh.st
